,precision,recall,f1-score,support
bass,0.29508196721311475,0.18,0.2236024844720497,100.0
brass,0.352112676056338,0.5,0.4132231404958678,100.0
flute,0.26666666666666666,0.13953488372093023,0.183206106870229,86.0
guitar,0.34782608695652173,0.24,0.28402366863905326,100.0
keyboard,0.2682926829268293,0.22,0.24175824175824176,100.0
mallet,0.4069767441860465,0.7,0.5147058823529411,100.0
organ,0.34146341463414637,0.56,0.42424242424242425,100.0
reed,0.38333333333333336,0.23,0.2875,100.0
string,0.22988505747126436,0.2,0.21390374331550802,100.0
synth_lead,0.0,0.0,0.0,0.0
vocal,0.6020408163265306,0.6276595744680851,0.6145833333333334,94.0
accuracy,0.36122448979591837,0.36122448979591837,0.36122448979591837,0.36122448979591837
macro avg,0.31760722234279926,0.32701767801718323,0.3091590023163317,980.0
weighted avg,0.34900241463855786,0.36122448979591837,0.3406352214814098,980.0
